# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = logistic_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /Users/dveen5/Library/R/4.0/library/cmdstanr/logistic.data.json
# init = 2 (Default)
# random
#   seed = 1572087374
# output
#   file = /var/folders/l_/g3sbvqqs3fjbln3tv95bwtbc0000gp/T/RtmpjnRyRe/logistic-202012301656-2-33579a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.851642
# Diagonal elements of inverse mass matrix:
# 0.0420288, 0.0697191, 0.0481395, 0.0704182
-67.3226,0.740236,0.851642,2,3,0,67.8613,0.907878,-0.513741,-0.281185,0.615423,-0.341428,-0.663247,-0.336739,-0.683944,-1.52756,-0.33539,-0.975958,-0.158356,-0.406717,-0.492511,-0.161301,-0.690816,-1.029,-0.254738,-0.182173,-0.174254,-1.89697,-0.296927,-0.156698,-0.081137,-0.13222,-0.333487,-0.194423,-0.0955984,-0.737514,-1.78313,-0.178831,-0.286121,-1.01375,-0.408718,-0.277043,-0.265799,-0.693993,-0.0419545,-0.906786,-0.200649,-0.452801,-0.503224,-0.127193,-0.417433,-1.5326,-0.564583,-0.262349,-1.49194,-0.251147,-0.898602,-0.508083,-0.216999,-0.20857,-1.5396,-0.196771,-1.14397,-0.23524,-0.261637,-0.64834,-0.182728,-0.421249,-0.581366,-0.829668,-1.28942,-0.353649,-1.08765,-0.0703153,-1.27154,-2.39336,-0.318758,-0.182995,-1.4459,-0.281074,-0.376048,-0.9594,-0.789282,-0.938093,-1.25812,-1.33363,-0.260024,-1.23478,-0.332709,-0.496819,-0.819138,-0.307014,-0.396194,-0.230639,-0.185802,-0.0936155,-0.690014,-1.16075,-1.16845,-0.797114,-0.449825,-0.66691,-1.82617,-0.991532,-0.217718,-0.234172,-1.86497,-0.278626,-0.638922,-1.04498,-0.265728
-66.5013,0.625068,0.851642,2,3,0,73.3786,0.395089,-1.19283,-0.157135,0.580186,-0.421187,-0.320484,-0.284686,-0.472751,-1.04333,-0.943276,-0.506813,-0.301334,-0.980923,-0.552062,-0.387557,-0.740673,-0.330852,-0.137063,-0.239303,-0.273463,-1.87479,-0.509229,-0.163634,-0.031966,-0.214897,-0.783094,-0.32363,-0.065896,-0.353048,-2.09417,-0.415244,-0.42591,-0.653246,-0.856525,-0.745935,-0.478271,-0.265881,-0.0220347,-0.360735,-0.24661,-0.62644,-0.238999,-0.060904,-0.797933,-0.86281,-1.15336,-0.108617,-1.35342,-0.187897,-0.503822,-0.262828,-0.235715,-0.288185,-1.92396,-0.163858,-0.960355,-0.554503,-0.160823,-0.282023,-0.202472,-0.653226,-1.17593,-1.75364,-1.15805,-0.460747,-1.47827,-0.0954858,-0.78541,-1.54552,-0.566137,-0.20964,-0.916364,-0.423233,-0.6295,-0.304548,-0.204727,-1.79811,-1.01744,-1.98569,-0.192414,-0.77798,-0.237434,-0.69763,-0.552815,-0.0689918,-0.123426,-0.266608,-0.204721,-0.0481145,-1.22891,-0.82888,-0.40705,-1.44997,-0.138306,-0.214895,-1.44404,-0.9429,-0.216203,-0.473744,-1.86545,-0.356905,-1.39495,-0.55666,-0.255348
-65.8281,0.881464,0.851642,2,3,0,68.6375,0.45128,-1.06144,-0.187278,0.461338,-0.412743,-0.415828,-0.323204,-0.52903,-0.999005,-0.876927,-0.567816,-0.283122,-0.879679,-0.554316,-0.40063,-0.856474,-0.384085,-0.163505,-0.273641,-0.280697,-1.80957,-0.471118,-0.177339,-0.0470647,-0.234133,-0.709224,-0.297958,-0.0810444,-0.417507,-2.04389,-0.416836,-0.412357,-0.651959,-0.735576,-0.691646,-0.482017,-0.337399,-0.0298559,-0.39672,-0.231448,-0.636429,-0.28099,-0.0840607,-0.717713,-0.906756,-1.00109,-0.104217,-1.32351,-0.206257,-0.58614,-0.337659,-0.241067,-0.298307,-1.89912,-0.171243,-0.994326,-0.530464,-0.177686,-0.366747,-0.180577,-0.618928,-1.14717,-1.48011,-1.1649,-0.441021,-1.49542,-0.112004,-0.891535,-1.45211,-0.570812,-0.2163,-0.988144,-0.418948,-0.526959,-0.346156,-0.263916,-1.55946,-0.998071,-1.9361,-0.21822,-0.816784,-0.234467,-0.674887,-0.673855,-0.102362,-0.193552,-0.279751,-0.232056,-0.0655047,-1.01408,-0.884031,-0.455782,-1.22157,-0.173614,-0.272481,-1.34507,-0.940039,-0.235477,-0.452522,-1.76471,-0.339521,-1.3298,-0.635003,-0.26039
-65.923,0.882115,0.851642,2,3,0,68.1358,0.607806,-0.777878,-0.507019,0.446105,-0.419256,-0.626169,-0.580312,-0.471746,-0.991093,-0.593415,-0.711725,-0.134871,-0.589596,-0.7674,-0.269902,-0.844505,-0.618071,-0.325376,-0.318704,-0.207981,-1.90403,-0.327611,-0.16075,-0.0978861,-0.178125,-0.448797,-0.154991,-0.0892061,-0.504641,-2.05204,-0.270101,-0.344128,-0.539129,-0.430309,-0.419376,-0.428949,-0.507377,-0.028001,-0.459577,-0.141307,-0.828855,-0.24028,-0.179963,-0.529267,-1.28734,-0.721059,-0.105985,-1.28913,-0.286492,-0.76882,-0.395885,-0.219238,-0.263468,-1.80733,-0.166295,-0.996338,-0.339461,-0.270517,-0.555019,-0.0871077,-0.593235,-1.30073,-1.05711,-1.13618,-0.41493,-1.23612,-0.0741374,-1.36374,-1.8889,-0.568234,-0.179085,-1.41023,-0.374453,-0.284934,-0.491635,-0.496129,-1.35324,-0.88898,-1.55405,-0.346634,-0.960519,-0.274297,-0.778459,-0.93267,-0.150065,-0.390398,-0.287039,-0.274071,-0.107887,-0.679098,-1.02025,-0.715908,-0.928461,-0.182029,-0.407335,-1.31665,-0.712526,-0.2736,-0.29576,-1.70513,-0.269657,-1.40238,-0.885705,-0.275055
-66.172,0.978393,0.851642,2,3,0,66.2171,0.109569,-0.498368,0.0144042,0.809323,-0.624126,-0.242338,-0.365118,-0.430402,-1.27311,-0.578073,-0.56315,-0.523219,-0.795115,-0.635854,-0.291708,-0.25208,-0.634992,-0.341571,-0.243874,-0.381628,-1.17361,-0.691244,-0.347962,-0.107258,-0.262055,-0.711691,-0.636598,-0.206005,-0.412839,-0.956919,-0.354943,-0.583652,-0.899962,-1.02165,-0.56506,-0.429389,-0.324516,-0.11852,-0.695364,-0.660448,-0.527759,-0.385403,-0.150262,-0.846458,-0.881797,-1.1144,-0.945967,-1.00213,-0.428477,-0.427198,-0.231443,-0.484014,-0.405138,-0.791547,-0.481499,-0.675414,-0.483961,-0.460325,-0.257126,-0.821387,-0.706715,-0.576893,-1.55496,-0.802151,-0.687261,-0.557244,-0.172665,-0.499254,-1.83059,-0.447932,-0.435706,-0.692696,-0.519166,-1.15566,-0.684734,-0.395999,-1.45291,-0.96527,-0.739901,-0.372208,-0.762618,-0.746048,-0.694277,-0.27561,-0.160183,-0.105417,-0.422601,-0.282132,-0.143838,-1.56335,-0.633584,-0.754664,-1.53705,-0.343396,-0.358342,-1.5231,-0.746428,-0.375168,-0.520581,-1.31413,-0.667727,-0.663171,-0.513823,-0.543593
-65.4882,1,0.851642,1,1,0,66.3221,0.195888,-0.525393,-0.0328084,0.8454,-0.589311,-0.253187,-0.359311,-0.429227,-1.33601,-0.536331,-0.590231,-0.445357,-0.746397,-0.632524,-0.254851,-0.259254,-0.671797,-0.326838,-0.222436,-0.335445,-1.28068,-0.632662,-0.305446,-0.0937519,-0.225832,-0.655578,-0.553931,-0.174894,-0.422098,-1.04945,-0.31155,-0.537874,-0.909735,-0.950858,-0.512256,-0.396864,-0.335972,-0.0925285,-0.710699,-0.579696,-0.523066,-0.37063,-0.136994,-0.798952,-0.965021,-1.07315,-0.862741,-1.06494,-0.400469,-0.450358,-0.230672,-0.436659,-0.365141,-0.858003,-0.430987,-0.709919,-0.434002,-0.432589,-0.2669,-0.708812,-0.678098,-0.583504,-1.53137,-0.847551,-0.647635,-0.581681,-0.139424,-0.555551,-1.99901,-0.423954,-0.385554,-0.76611,-0.480272,-1.0647,-0.710758,-0.416762,-1.46146,-1.00125,-0.780355,-0.352861,-0.809862,-0.702355,-0.683746,-0.294518,-0.153037,-0.107754,-0.386945,-0.256744,-0.125295,-1.51484,-0.674314,-0.803635,-1.51358,-0.329653,-0.366818,-1.61333,-0.756093,-0.344199,-0.466484,-1.41125,-0.61082,-0.671282,-0.549682,-0.502429
